Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2025-08-15 17:00:00+00:00,35.26402,250.00000000000003,23.981498999999985,1017.0,63937.18535167139,2.4196842080699765,3.291684893380821,2.8454262381443063,7.269357040130153,6.282070351369831,47.947128982497816,-81.91150672802216,-9306.013646202295,-6654.857574090022,318.69628687227265,
2025-08-15 18:00:00+00:00,36.88177,250.00000000000003,25.081500000000005,1017.0,64070.270404576564,2.4174865135269874,3.2048865218060656,2.8479511287036288,7.2726148779541875,5.989599280899474,47.94272429217158,-81.90274397151553,-7159.011586906958,-8262.597710609356,311.1232109326169,
2025-08-15 19:00:00+00:00,43.077488,250.00000000000003,26.181500000000028,1016.9,63679.507771508244,2.4156740752207075,3.236573284954786,2.848331584419222,7.274861885232783,5.805195069993601,47.94163761283082,-81.9073350328067,-8284.475942338091,-8658.552237579157,325.8020902981533,
2025-08-16 11:00:00+00:00,74.58989,260.0,18.681500000000028,1015.1,63122.35639894793,2.4350072823208078,3.6179129658048153,2.815043530678263,7.246418557145728,5.397150329673001,47.96209689767605,-81.89393429493978,-4997.849897983418,-1196.2700356910655,345.0694420832401,
2025-08-16 12:00:00+00:00,75.98953,260.0,19.681500000000028,1014.3,63426.33393788158,2.4335340286527845,3.6486167132172747,2.8105701535589453,7.2072233137005695,5.471688970612576,47.9617782624572,-81.89032538020294,-4113.643749238201,-1312.719766196075,334.56501202084235,
2025-08-16 17:00:00+00:00,124.171,290.0,22.731498999999985,1014.9,64787.32846602808,2.4303794588570327,3.7097160346186375,2.8123958687469677,7.273013230773759,5.685140717650614,47.96914510620637,-81.85956522157423,3422.5583854080314,1374.5335368345513,268.3373963728634,
2025-08-16 18:00:00+00:00,129.53262,280.0,24.631500000000017,1014.4,64387.6121093878,2.4278063064408664,3.4566385869104064,2.81670634751935,7.1660733682930235,6.2612297052308685,47.9754189894691,-81.85829409059221,3733.5075410772033,3663.2792162044407,281.17647170792713,
2025-08-17 16:00:00+00:00,65.085594,280.0,12.181500000000028,1023.8,66052.75274676683,2.4431769664303067,3.4636904898581053,2.7889223359171025,7.121264985457832,4.658384360239205,47.964646535336236,-81.84419980740206,7187.398303940768,-265.4683015098968,193.9446095464477,
2025-08-17 17:00:00+00:00,64.17289,290.0,13.831500000000005,1023.8,66063.38556240269,2.4400204579832923,3.4854842084839195,2.837712873324112,7.264784772947718,4.594702580459454,47.96027414881058,-81.84994926616248,5779.262540205823,-1860.9772786465703,190.2294837082513,
2025-08-17 18:00:00+00:00,64.012405,290.0,14.98150099999998,1023.9,66037.0603209563,2.437639854173803,3.5126038362449177,2.8314700702433018,7.2290517445836935,4.648705415559043,47.96002395438012,-81.85345406452767,4920.5345300123,-1952.4900376561109,190.6453508921533,
