Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2022-08-02 11:00:00+00:00,59.091175,270.0,9.98150099999998,1012.4,65181.38229775258,2.4556060466609306,3.3046235691009063,2.7632318972089127,7.272571962140966,5.712739693564122,47.95013134862829,-81.70256628123279,41899.46377269713,-5515.473674200631,282.29490872943006,
2022-08-02 12:00:00+00:00,61.175224,300.0,11.48150099999998,1013.3,65361.201802589814,2.451728362944681,3.4278496260352727,2.773124193486051,7.2731516660889906,5.703116871505487,47.92684747337983,-81.7078392920788,40625.45095735815,-14012.090556741094,269.4530113873064,
2022-08-02 14:00:00+00:00,59.920177,290.0,13.98150099999998,1013.4,65622.11220777243,2.445882191932671,3.69043169358657,2.7868719776903728,7.259381969659653,5.7850933836477365,47.919747443776906,-81.72241381734712,37057.15135476761,-16609.462731912674,255.61977124423817,
2022-08-02 15:00:00+00:00,60.290386,290.0,15.631500000000017,1013.6,66132.21038091533,2.4422387149583753,4.041371999647042,2.7895763489667402,7.275270429720698,5.452897225685667,47.92258651311613,-81.70890170919571,40368.28427358396,-15567.013386079632,225.18685213390805,
2022-08-02 16:00:00+00:00,57.27277,290.0,16.531499999999994,1013.7,66310.70891034396,2.4401962862887605,4.355370487618437,2.7925910179399076,7.27462557045216,5.329994190085094,47.925264854574344,-81.70747355508243,40716.364374091805,-14589.224944555717,214.0002657993574,
2022-08-02 19:00:00+00:00,54.846302,280.0,19.131500000000017,1012.9,66175.99935010899,2.436501654762738,4.537217271888624,2.797576382975313,7.255423260468901,5.36035324079794,47.9384407476914,-81.70537420005051,41220.6241956373,-9781.640921242722,220.4308784384749,
2022-08-03 11:00:00+00:00,83.59517,270.0,14.631500000000017,1003.6,63743.10324852641,2.440161243821207,2.3346472345469613,2.3346472345469613,7.276086644350786,5.735756795984911,47.96469483948304,-81.629457642852,59799.3023107393,-154.6099583796428,352.35082941067424,
2022-08-03 12:00:00+00:00,83.30337,260.0,15.131500000000017,1002.9,63785.383392999414,2.439820115954761,2.2904521057953273,2.2904521057953273,7.276337660061304,5.74043602426509,47.97787064318284,-81.65177445927465,54317.870231684166,4635.344663304931,349.55413275921444,
2022-08-03 14:00:00+00:00,80.12824,250.00000000000003,17.031499999999994,1000.8,64071.76965962257,2.440925298517299,2.5093537702503417,2.5093537702503417,7.273720748128103,5.527491108015379,47.991203862463585,-81.65644782849031,53159.49605830701,9495.98824718551,338.3645013335126,
2022-08-03 17:00:00+00:00,83.040886,239.99999999999997,18.881500000000017,1000.9,63849.43946489488,2.4427665253904576,2.9965701660981807,2.784818193061157,7.272498361532811,6.327146921858294,48.02452894017359,-81.6688642297989,50086.76612215834,21644.57084694425,338.6307660172884,
2022-08-03 18:00:00+00:00,87.57114,239.99999999999997,21.981498999999985,1000.3,64024.68990832473,2.439348476574341,3.029723018477926,2.814369321886637,7.2608283518917744,6.278249913057334,48.034100391107046,-81.65415426541921,53676.605996947495,25146.11852517812,327.2901098472625,
2022-08-04 11:00:00+00:00,62.290565,250.00000000000003,14.381500000000017,1011.7,66160.993137888,2.445719767544394,3.533104512109417,2.78306798436007,7.275249338248966,5.1273732883291085,47.99920878821505,-81.68103022909649,47132.60101857549,12400.173952557354,234.36124845984293,
